,_id,username,role,supporter,verified,country,gamesplayed,gameswon,rating,glicko,rd,rank,apm,pps,vs,decaying
11307,5f91224989f686900d6c735d,missoldenburg,user,,False,CL,60,31,4673.448461938813,1115,96,b-,9.22,0.82,21.34,True
11308,6007c26df5c57ce966273956,aliciel,user,,False,JP,15,6,4673.156447977605,1111,95,b-,11.63,0.75,24.32,True
11309,5fd4c26447d24e21d37caf3e,doju,user,,False,GB,36,14,4672.822723376057,1113,76,b-,15.19,0.94,31.58,False
11310,6010d48e092f1be958722b13,tempura,user,,False,TH,40,17,4670.255280672435,1114,68,b-,9.44,0.91,20.5,False
11311,5fdabbce3a6a8b21b89ec600,mrcreeper5,user,,False,MX,44,21,4669.939619888233,1114,68,b-,8.68,0.75,19.74,False
11312,5f1633fbae1410756edb8e59,luminmk,user,,False,US,66,33,4666.787739147556,1113,93,b-,18.37,1.03,37.13,True
11313,60090305092f1be95870c6ff,binsss,user,,False,CA,67,32,4656.880583677377,1114,64,b-,14.54,0.95,32.58,True
11314,5fb400283a6a8b21b89868f2,mutedanxiety,user,,False,US,123,65,4655.632798611479,1113,67,b-,9.89,0.79,22.78,True
11315,5f989d3893c350df94c3ac9c,leonardo587,user,,False,MX,96,50,4655.555499791619,1113,71,b-,14.21,0.88,30.54,False
11316,5fd9f55613e8c021da3da52f,mariko,user,,False,US,48,25,4653.251430981809,1113,71,b-,9.93,0.73,22.3,False
11317,5ff89ec3e5a75e3212009f7b,annberly,user,,False,AU,36,14,4648.912317837872,1112,69,b-,10.03,0.78,21.35,False
11318,600e3ff0413441e94a587fe6,thelostmind01,user,,False,PH,33,15,4647.058732951253,1112,72,b-,12.08,0.83,27.09,False
11319,5f507e0a7dad192e85186071,aarushi-9608,user,,False,AU,287,152,4642.227149398962,1113,62,b-,12.58,0.92,25.46,False
11320,5ff3f772282fb13219fc67de,janssen56,user,,False,PH,18,5,4640.257515493965,1109,97,b-,16.62,1.85,30.52,True
11321,5ffe66ea9ba9edf96ce617fe,john-hammond,user,,False,US,164,86,4639.648927805981,1113,62,b-,10.84,0.94,23.95,False
11322,5ff18e147b93d50b96507152,mastercard123,user,,False,AU,54,27,4639.287854463565,1112,67,b-,11.51,0.8,26.22,True
11323,5f691c141a734d2b41c2785f,nerdsjv,user,,False,BR,195,101,4638.859631437607,1112,66,b-,11.88,0.84,24.24,False
11324,5fa3f78b3bc07b4690a43f1f,cokochay82,user,,False,AR,445,200,4638.056518453268,1112,64,b-,13.13,0.79,29.81,False
11325,5fbac4adac8ce421be7568ab,foseucamino,user,,False,AR,253,131,4637.311946801834,1112,67,b-,14.42,1.21,27.22,False
11326,5f79df13d447623c0fad009e,coxx,user,,False,PH,79,34,4634.442574922548,1110,78,b-,13.37,0.82,27.48,False
11327,5ffe217f9a5d28f987e6f774,naofumi,user,,False,PH,33,18,4628.095881589603,1111,83,b-,15.43,0.94,29.55,True
11328,5f446a581fee2b2e8c2935e1,berryblack,user,,False,AR,2463,1188,4628.069503235633,1112,62,b-,10.78,0.96,23.13,False
11329,5fed5a6c4529400ba471000f,arch_angel02,user,,False,ID,96,44,4628.058547616957,1112,63,b-,9.35,0.66,20.72,False
11330,5f9bc5a12210b5df8d067031,noonecanreadit,user,,False,HK,304,161,4627.504700640181,1112,62,b-,15.75,1.09,30.45,False
11331,5faeabbc13e8c021da36985e,croato,user,,False,AR,66,34,4627.035386329076,1111,72,b-,13.08,1.02,28.2,True
11332,5e9c6a6ae6f1903fa6603dad,froastar,user,,False,ID,114,60,4625.136043035935,1112,64,b-,10.92,0.54,22.57,False
11333,5fd6525313e8c021da3d085d,nerraj,user,,False,AR,74,34,4624.617209360255,1111,64,b-,10.64,0.68,23.95,False
11334,5f0f00f3b2e27d1f1840932a,jashywashy,user,,False,SG,80,43,4621.219980399934,1110,85,b-,10.72,0.86,22.73,True
11335,5e895503bd405340561d9bec,rixenz,user,,False,US,269,124,4620.571385934522,1110,73,b-,11.38,0.81,22.88,False
11336,5fd6ffa2ac8ce421be7a0bc1,gasparrr,user,,False,AR,89,42,4617.507876973872,1111,77,b-,9.86,0.85,20.4,True
11337,5fc9d253ac8ce421be77e8a4,recruit_75,user,,False,NP,162,78,4616.180063213203,1111,64,b-,10.97,0.92,24.49,False
11338,600e1aa013cfe0e935303cbe,gandalflepale,user,,False,FR,19,8,4613.77401394148,1108,87,b-,10.39,0.73,23.83,True
11339,5fdc9d8168193f52be932191,natruallyawesome,user,,False,GB,131,77,4613.154510267432,1110,74,b-,18.32,0.95,34.15,True
11340,5fbc0e273a6a8b21b899b7ab,mynini,user,,False,MX,204,95,4611.375563331131,1111,62,b-,12.24,0.78,27.98,False
11341,5f26eb6ef59927926f2a7377,tuabuela,user,,False,ES,195,102,4610.914884055885,1108,83,b-,14.25,0.9,29.8,False
11342,5fd932c7ac8ce421be7a686d,chuloxo,user,,False,US,25,11,4608.547045263708,1107,95,b-,10.09,0.89,20.58,True
